Year_UTC,Month_UTC,Day_UTC,Latitude,Longitude,pH_T_measured,pH_flag
2021,6,29,47.954,-124.907,7.4018,6
2021,6,29,47.954,-124.907,7.4353,2
2021,6,29,47.954,-124.907,7.479,2
2021,6,29,47.954,-124.907,7.5805,2
2021,6,29,47.954,-124.907,7.7474,2
2021,6,29,47.954,-124.907,7.8079,6
2021,6,29,47.954,-124.907,7.952,2
2021,6,29,47.954,-124.907,-999,9
2021,6,29,47.954,-124.907,-999,9
2021,6,29,47.954,-124.907,7.9703,2
2021,6,29,47.954,-124.907,-999,9
2021,6,29,47.954,-124.907,-999,9
2021,6,29,47.954,-124.907,-999,9
2021,6,29,47.954,-124.907,-999,9
2021,6,29,47.946,-124.746,7.2534,2
2021,6,29,47.946,-124.746,-999,9
2021,6,29,47.946,-124.746,-999,9
2021,6,29,47.946,-124.746,7.2841,6
2021,6,29,47.946,-124.746,-999,9
2021,6,29,47.946,-124.746,-999,9
2021,6,29,47.946,-124.746,8.0388,2
2021,6,29,47.946,-124.746,8.3224,3
2021,6,29,47.946,-124.746,8.3426,2
2021,6,29,47.946,-124.746,-999,9
2021,6,29,47.946,-124.746,-999,9
2021,6,29,47.946,-124.746,-999,9
2021,6,29,47.68,-125.579,7.312,2
2021,6,29,47.68,-125.579,-999,9
2021,6,29,47.68,-125.578,7.2912,6
2021,6,29,47.68,-125.578,7.275,2
2021,6,29,47.68,-125.578,7.3711,2
2021,6,29,47.68,-125.578,7.3063,2
2021,6,29,47.68,-125.577,7.3431,2
2021,6,29,47.68,-125.577,7.3723,2
2021,6,29,47.68,-125.577,7.4498,2
2021,6,29,47.68,-125.577,7.5153,2
2021,6,29,47.68,-125.577,7.5658,2
2021,6,29,47.68,-125.577,-999,9
2021,6,29,47.68,-125.577,-999,9
2021,6,29,47.68,-125.577,7.7108,2
2021,6,29,47.68,-125.577,7.7577,2
2021,6,29,47.68,-125.577,7.7658,2
2021,6,29,47.68,-125.577,7.7789,2
2021,6,29,47.68,-125.577,7.8038,2
2021,6,29,47.68,-125.577,7.9018,2
2021,6,29,47.68,-125.577,7.9011,6
2021,6,29,47.68,-125.576,7.9011,2
2021,6,29,47.68,-125.576,7.9,2
2021,6,29,47.68,-125.576,-999,9
2021,6,29,47.638,-124.487,8.1863,3
2021,6,29,47.638,-124.487,-999,9
2021,6,29,47.638,-124.487,8.2191,6
2021,6,29,47.638,-124.487,8.1931,2
2021,6,29,47.638,-124.487,8.1896,2
2021,6,29,47.638,-124.487,-999,9
2021,6,29,47.638,-124.487,-999,9
2021,6,30,46.13,-124.909,7.3224,3
2021,6,30,46.13,-124.909,-999,9
2021,6,30,46.13,-124.908,7.2924,6
2021,6,30,46.13,-124.908,7.2785,2
2021,6,30,46.129,-124.908,-999,9
2021,6,30,46.129,-124.907,7.3202,2
2021,6,30,46.129,-124.907,7.3762,2
2021,6,30,46.129,-124.907,7.4565,2
2021,6,30,46.129,-124.907,7.4864,2
2021,6,30,46.129,-124.907,7.5086,2
2021,6,30,46.129,-124.906,7.5852,2
2021,6,30,46.129,-124.906,7.6338,2
2021,6,30,46.129,-124.906,7.776,2
2021,6,30,46.129,-124.906,7.7979,2
2021,6,30,46.129,-124.906,7.8155,2
2021,6,30,46.129,-124.906,-999,9
2021,6,30,46.129,-124.906,-999,9
2021,6,30,46.129,-124.906,7.8664,2
2021,6,30,46.129,-124.906,7.8876,6
2021,6,30,46.129,-124.906,7.8888,2
2021,6,30,46.129,-124.906,7.8906,2
2021,6,30,46.129,-124.906,-999,9
2021,6,30,46.129,-124.906,-999,9
2021,6,30,46.129,-124.906,-999,9
2021,6,30,46.243,-124.118,8.04,2
2021,6,30,46.243,-124.118,-999,9
2021,6,30,46.243,-124.118,-999,9
2021,6,30,46.243,-124.118,8.0462,6
2021,6,30,46.244,-124.118,-999,9
2021,6,30,46.244,-124.118,8.045,2
2021,6,30,46.244,-124.118,8.0336,2
2021,6,30,46.244,-124.119,7.9705,2
2021,6,30,46.245,-124.119,7.9496,2
2021,6,30,46.245,-124.119,-999,9
2021,6,30,46.245,-124.119,-999,9
2021,6,30,46.245,-124.119,-999,9
2021,6,30,46.245,-124.119,-999,9
2021,6,30,46.251,-124.003,7.8126,2
2021,6,30,46.251,-124.003,-999,9
2021,6,30,46.251,-124.003,-999,9
2021,6,30,46.251,-124.003,7.7908,6
2021,6,30,46.251,-124.003,-999,9
2021,6,30,46.251,-124.003,7.7182,2
2021,6,30,46.252,-124.003,7.7357,2
2021,6,30,46.252,-124.003,7.7342,2
2021,6,30,46.252,-124.003,-999,9
2021,6,30,46.252,-124.003,-999,9
2021,6,30,46.252,-124.003,-999,9
2021,6,30,46.193,-123.914,7.6363,2
